title,year,duration,genre,rating,movie_url
3 Idiots ,2009,2h 50min,Comedy,8.4,http://web.archive.org/web/20200724145355/https://www.imdb.com/title/tt1187043/?ref_=adv_li_tt
Joker ,2019,2h 2min,Crime,8.5,http://web.archive.org/web/20201111233420/https://www.imdb.com/title/tt7286456/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20211014110217/https://www.imdb.com/title/tt4154756/?ref_=adv_li_tt
Capernaum ,2018,2h 6min,Drama,8.4,http://web.archive.org/web/20210517153542/https://www.imdb.com/title/tt8267604/?ref_=adv_li_tt
Spider-Man: Into the Spider-Verse ,2018,1h 57min,Animation,8.4,http://web.archive.org/web/20201112031515/https://www.imdb.com/title/tt4633694/?ref_=adv_li_tt
Your Name. ,2016,1h 46min,Animation,8.4,http://web.archive.org/web/20210226000012/http://www.imdb.com/title/tt5311514/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20211016112814/https://www.imdb.com/title/tt8503618/?ref_=adv_li_tt
City Lights ,1931,1h 27min,Comedy,8.5,http://web.archive.org/web/20190118191025/https://www.imdb.com/title/tt0021749/?ref_=adv_li_tt
Yön ritarin paluu ,2012,2h 44min,Action,8.4,http://web.archive.org/web/20210308114651/https://www.imdb.com/title/tt1345836/?ref_=adv_li_tt
Se7en ,1995,2h 7min,Crime,8.6,http://web.archive.org/web/20200714045927/https://www.imdb.com/title/tt0114369/
Modern Times ,1936,1h 27min,Comedy,8.5,http://web.archive.org/web/20190118190934/https://www.imdb.com/title/tt0027977/?ref_=adv_li_tt
,,,,,http://web.archive.org/web/20210920140047/https://www.imdb.com/title/tt0034583/?ref_=adv_li_tt
The Green Mile ,1999,3h 9min,Crime,8.6,http://web.archive.org/web/20200714044804/https://www.imdb.com/title/tt0120689/
The Silence of the Lambs ,1991,1h 58min,Crime,8.6,http://web.archive.org/web/20200715044236/https://www.imdb.com/title/tt0102926/
Saving Private Ryan ,1998,2h 49min,Drama,8.6,http://web.archive.org/web/20200714052455/https://www.imdb.com/title/tt0120815/
Dangal ,2016,2h 41min,Action,8.4,http://web.archive.org/web/20210301031757/http://www.imdb.com/title/tt5074352/?ref_=adv_li_tt
Interstellar ,2014,2h 49min,Adventure,8.6,http://web.archive.org/web/20200714070245/https://www.imdb.com/title/tt0816692/
Parasite ,2019,2h 12min,Comedy,8.6,http://web.archive.org/web/20200714020315/https://www.imdb.com/title/tt6751668/
Spirited Away ,2001,2h 5min,Animation,8.6,http://web.archive.org/web/20200714045337/https://www.imdb.com/title/tt0245429/
Harakiri ,1962,2h 13min,Action,8.7,http://web.archive.org/web/20200716172056/https://www.imdb.com/title/tt0056058/
City of God ,2002,2h 10min,Crime,8.6,http://web.archive.org/web/20200714035551/https://www.imdb.com/title/tt0317248/
One Flew Over the Cuckoo's Nest ,1975,2h 13min,Drama,8.7,http://web.archive.org/web/20200714035649/https://www.imdb.com/title/tt0073486/
La vita è bella ,1997,1h 56min,Comedy,8.6,http://web.archive.org/web/20200715094956/https://www.imdb.com/title/tt0118799/
Goodfellas ,1990,2h 26min,Biography,8.7,http://web.archive.org/web/20200714135956/https://www.imdb.com/title/tt0099685/
Forrest Gump ,1994,2h 22min,Drama,8.8,http://web.archive.org/web/20200715142550/https://www.imdb.com/title/tt0109830/
Inception ,2010,2h 28min,Action,8.8,http://web.archive.org/web/20200716171027/https://www.imdb.com/title/tt1375666/
Schindler's List ,1993,3h 15min,Biography,8.9,http://web.archive.org/web/20200714062836/https://www.imdb.com/title/tt0108052/
The Matrix ,1999,2h 16min,Action,8.7,http://web.archive.org/web/20200714233133/https://www.imdb.com/title/tt0133093/
Fight Club ,1999,2h 19min,Drama,8.8,http://web.archive.org/web/20200714080106/https://www.imdb.com/title/tt0137523/
Star Wars: Episode V - The Empire Strikes Back ,1980,2h 4min,Action,8.7,http://web.archive.org/web/20200714105828/https://www.imdb.com/title/tt0080684/
12 Angry Men ,1957,1h 36min,Crime,8.9,http://web.archive.org/web/20200714005450/https://www.imdb.com/title/tt0050083/
The Lord of the Rings: The Fellowship of the Ring ,2001,2h 58min,Action,8.8,http://web.archive.org/web/20200714041023/https://www.imdb.com/title/tt0120737/
The Lord of the Rings: The Two Towers ,2002,2h 59min,Adventure,8.7,http://web.archive.org/web/20200715072821/https://www.imdb.com/title/tt0167261/
The Godfather: Part II ,1974,3h 22min,Crime,9.0,http://web.archive.org/web/20200714052747/https://www.imdb.com/title/tt0071562/
"Il buono, il brutto, il cattivo ",1966,2h 41min,Western,8.8,http://web.archive.org/web/20200715115111/https://www.imdb.com/title/tt0060196/
Pulp Fiction ,1994,2h 34min,Crime,8.9,http://web.archive.org/web/20200714035314/https://www.imdb.com/title/tt0110912/
The Lord of the Rings: The Return of the King ,2003,3h 21min,Adventure,8.9,http://web.archive.org/web/20200714041137/https://www.imdb.com/title/tt0167260/
The Godfather ,1972,2h 55min,Crime,9.2,http://web.archive.org/web/20200714035749/https://www.imdb.com/title/tt0068646/
The Dark Knight ,2008,2h 32min,Action,9.0,http://web.archive.org/web/20200716170540/https://www.imdb.com/title/tt0468569/
